scene,frame,generation,pages,palettes,bytes,hash,decode_us,upload_us,snapshot_us
2112,3501,1,4096,26,16820528,036316ae6098f1fa,23199.800,2350.400,0.200
2113,3502,2,3,26,39228,20027663fcbd863f,53.200,197.700,0.100
2114,3503,3,3,26,39228,79f92d81e5cf2ba8,52.000,193.800,0.100
2115,3504,4,3,26,39228,bf1718d956283871,48.000,187.300,0.100
2116,3505,5,3,26,39228,b24842c0fdfb55ae,48.900,156.900,0.300
2117,3506,6,3,26,39228,f4f3e60e04003aed,46.400,158.700,0.200
2118,3507,7,3,26,39228,5aaf1002751accf7,50.600,147.500,0.100
2119,3508,8,3,26,39228,d533144cbdc03db4,48.400,160.200,0.200
2120,3509,9,3,26,39228,a353428549d43903,48.300,191.700,0.500
2121,3510,10,3,26,39228,0c791df796e26c21,47.800,254.800,0.400
2122,3512,11,3,26,39228,ab66c0182d488934,50.000,214.500,0.100
2123,3513,12,3,26,39228,0374ddd735e2bbcb,50.500,150.900,0.100
2124,3514,13,3,26,39228,6331d7c241b903bd,47.800,143.000,0.100
2125,3515,14,3,26,39228,0bfdb813078f9da8,48.100,155.200,0.100
2126,3516,15,3,26,39228,2a1910caf8c7bbf2,47.300,142.700,0.200
2127,3517,16,3,27,40260,4651091382f27ee0,51.000,146.800,0.100
2128,3518,17,3,27,40260,471f219f48c642fa,52.700,171.400,0.100
2129,3519,18,3,27,40260,8ed3abf422c18919,50.400,159.800,0.100
2130,3520,19,3,27,40260,9fd394eb479a8f62,48.500,184.900,0.100
2131,3521,20,3,27,40260,de5654a7d145e9c2,49.000,164.100,0.400
2132,3522,21,3,27,40260,3daf215794d23a08,46.200,148.400,0.100
2133,3523,22,3,27,40260,ce482b4cc3e741fa,51.400,157.500,0.100
2134,3524,23,3,26,39228,728d0c06456d21dc,48.500,366.700,0.100
2135,3525,24,3,26,39228,3aede842f8ac66ea,47.600,176.100,0.200
2136,3526,25,3,26,39228,a072b766141503fe,44.900,204.100,0.200
2137,3527,26,3,26,39228,cccc80a8012f2ca5,46.000,166.600,0.100
2138,3528,27,3,26,39228,a5ffa8a7c5d0c36d,47.600,158.400,0.100
2139,3529,28,3,26,39228,7677570d3057ed54,45.700,156.100,0.100
2140,3530,29,3,26,39228,f92eb28126c490f6,49.400,156.700,0.100
2141,3531,30,3,26,39228,2733c895a1b29862,53.000,160.600,0.500
2142,3532,31,3,26,39228,d39d5dad4bbf93aa,50.500,159.600,0.100
2143,3533,32,3,27,40260,5434e9eb4e8239ca,56.400,162.900,0.100
2144,3534,33,3,27,40260,382e16dde06f17f6,50.400,186.400,0.100
2145,3535,34,3,27,40260,57cba875ca4e49a4,51.100,152.300,0.100
2146,3536,35,3,26,39228,228150f39e07d2e3,48.500,144.500,0.100
2147,3537,36,3,26,39228,84b884e5cec89c39,48.300,143.300,0.100
2148,3538,37,3,26,39228,21ba231c14e8e9b0,47.000,138.100,0.100
2149,3539,38,3,26,39228,11121224a985655f,51.700,175.200,0.100
2150,3540,39,3,26,39228,c203f9a64f4665a1,47.800,149.500,0.200
2151,3542,40,3,26,39228,0947db6512e8daf1,47.000,149.100,0.200
2152,3543,41,3,26,39228,d37326a963392cec,46.000,301.300,0.200
2153,3544,42,3,26,39228,0a5e280d58a49eb8,45.500,139.300,0.100
2154,3545,43,3,26,39228,155cea9a419f677a,46.700,159.900,0.100
2155,3546,44,3,25,38196,8017b8f960ccbc06,48.700,165.100,0.300
2156,3547,45,3,25,38196,e4ed3bc93a4203df,48.800,156.800,0.300
2157,3548,46,3,26,39228,0b82cdcbf8deede5,50.400,172.900,0.100
2158,3549,47,3,26,39228,856d3b1f11a937f0,49.000,155.800,0.100
2159,3550,48,3,27,40260,4f247379308e18d6,49.500,178.000,0.400
2160,3551,49,3,26,39228,2b03f3d0f871f04c,49.400,132.900,0.100
2161,3552,50,3,25,38196,5e0896482651a0a5,47.900,136.600,0.400
2162,3553,51,3,25,38196,71fa0e3879000737,53.300,336.500,0.100
2163,3554,52,3,25,38196,8e09d2f5819ec293,46.600,150.700,0.100
2164,3555,53,3,25,38196,efd1072ea4fe26a2,49.800,178.100,0.300
2165,3556,54,3,25,38196,345335e90b75436a,48.100,202.500,0.200
2166,3557,55,3,25,38196,1629a12b57ebac16,84.600,171.300,0.100
2167,3558,56,3,26,39228,ab04ed51dca6ff34,80.400,149.000,0.100
2168,3559,57,3,27,40260,4d452dd3fcbadd54,51.000,161.900,0.100
2169,3560,58,3,26,39228,b6375ceb4065eed3,49.000,168.000,0.400
2170,3561,59,3,26,39228,0baf255b70b79340,47.800,150.900,0.400
2171,3562,60,3,26,39228,87267471aa5967bf,52.100,172.400,0.100
2172,3563,61,3,26,39228,de76148e8be68cc8,55.400,159.900,0.400
2173,3564,62,3,26,39228,a52c1cd6b0f7289b,57.600,137.800,0.100
2174,3565,63,3,26,39228,d1a17157dc7e4c76,47.600,155.300,0.100
2175,3567,64,3,25,38196,dd28f1ea16239825,48.100,162.600,0.200
