frame,cpu_frame,cpu_time,device_time,scene,scene_frame,scene_time,multiplier,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,bounds,culled_bounds
3501,3501,61.293801432720,61.293805532720,2112,3501,61.293717199387,2,713,5313,5209,c0358b105831d4db,1228.400,3994.400,1233.600,1.000,0,1,566
3502,3502,61.311303899387,61.311307999387,2113,3502,61.311219666054,2,712,5302,5190,a8c27189a65792ae,978.200,3777.400,1185.600,0.700,0,1,566
3503,3503,61.328806699387,61.328810799387,2114,3503,61.328722466053,2,712,5292,5179,06ef05c57c8662b9,997.300,4169.100,1179.200,0.800,0,1,564
3504,3504,61.346308866053,61.346312966053,2115,3504,61.346224632720,2,709,5263,5150,7b1832b11247a934,986.700,3704.300,1169.700,0.500,0,1,565
3505,3505,61.363814566053,61.363818666053,2116,3505,61.363727166053,2,708,5255,5123,e66e545d76712316,991.100,3677.100,1168.100,0.500,0,1,565
3506,3506,61.381320932720,61.381325032720,2117,3506,61.381229532720,2,706,5250,5108,18b934ef1bea0775,969.300,3775.200,1163.200,0.700,0,1,565
3507,3507,61.398823466053,61.398827566053,2118,3507,61.398732066053,2,703,5233,5087,caf131cff029def8,971.200,3665.800,1163.700,0.600,0,1,564
3508,3508,61.416327966052,61.416332066053,2119,3508,61.416234566053,2,700,5226,5065,1385d14790c489e0,994.400,3616.500,1157.500,0.400,0,1,564
3509,3509,61.433830332719,61.433834432719,2120,3509,61.433736932719,2,696,5192,5040,6726c1b634f2ba0c,999.100,3661.300,1167.000,1.000,0,1,566
3510,3510,61.451334932719,61.451339032719,2121,3510,61.451239532719,2,694,5175,5016,71607f38d942b20a,988.500,3665.800,1151.700,0.600,0,1,566
3512,3512,61.486341832718,61.486345932718,2122,3512,61.486244432718,2,690,5119,4962,f5266d840149860a,988.100,3592.300,1154.100,0.700,0,1,564
3513,3513,61.503844366052,61.503848466052,2123,3513,61.503746966052,2,689,5097,4933,a907bce7ef8758f0,993.200,3554.000,1133.200,0.800,0,1,561
3514,3514,61.521346732718,61.521350832718,2124,3514,61.521249332718,2,683,5023,4907,e5f7bcc5390cc26b,1020.300,3608.300,1118.200,0.600,0,1,563
3515,3515,61.538846932718,61.538851032718,2125,3515,61.538751866051,2,555,3911,3779,b0d700c5e8e7f19f,1035.200,3185.100,874.900,0.700,0,1,563
3516,3516,61.556349399384,61.556353499384,2126,3516,61.556254332718,2,553,3892,3751,bbdc036d8d34cbd7,1086.000,3065.700,866.600,0.500,0,1,563
3517,3517,61.573787232718,61.573799799384,2127,3517,61.573756832718,2,548,3891,3721,377c2ad15f111f63,978.900,3022.300,867.600,0.500,0,1,564
3518,3518,61.591289599384,61.591302266051,2128,3518,61.591259199384,2,545,3881,3690,f465a28ea45626a0,982.600,3020.200,860.200,0.500,0,1,564
